                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7236,                 14.189,                 2.5886,                      0,                      0,                      0,                      0,                 2.3351,                  8.436,                 2.3258,                  0.002,                  0.002,                  0.002
                      2,                 2.6626,                 13.609,                 2.4989,                0.03353,                0.05119,                0.03224,                0.02287,                 2.3162,                 8.2666,                 2.2738,              0.0019604,              0.0019604,              0.0019604
                      3,                 2.5909,                 13.175,                 2.4474,                0.80673,                0.02429,                0.03854,                0.02865,                 2.4646,                 7.6761,                 2.3683,              0.0019208,              0.0019208,              0.0019208
                      4,                 2.6429,                  12.83,                 2.5348,                0.50331,                 0.0581,                0.04656,                0.03582,                 2.7429,                 6.8293,                 2.5441,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.7009,                 12.439,                 2.5454,                0.66186,                0.06466,                0.04877,                 0.0334,                 2.7501,                 6.6157,                 2.5502,              0.0018416,              0.0018416,              0.0018416
                      6,                 2.6588,                 11.954,                 2.5196,                0.69252,                0.06891,                0.06054,                 0.0437,                   2.71,                 6.2283,                 2.5764,               0.001802,               0.001802,               0.001802
                      7,                 2.6338,                 11.693,                 2.4623,                 0.7589,                0.07174,                0.07398,                0.05227,                 2.7455,                  6.006,                 2.6047,              0.0017624,              0.0017624,              0.0017624
                      8,                 2.5894,                 11.745,                 2.4625,                0.75802,                 0.0577,                0.06849,                0.04909,                 2.7462,                  5.919,                 2.6655,              0.0017228,              0.0017228,              0.0017228
                      9,                 2.5624,                 11.001,                 2.4696,                0.76617,                0.07477,                0.08355,                0.05871,                 2.7429,                 5.9105,                 2.6575,              0.0016832,              0.0016832,              0.0016832
                     10,                 2.5333,                   11.3,                 2.3708,                0.77479,                0.06642,                0.07394,                0.05243,                 2.7826,                 5.8392,                 2.6217,              0.0016436,              0.0016436,              0.0016436
                     11,                 2.5643,                 10.546,                 2.3721,                0.77221,                0.08301,                0.07846,                0.05354,                 2.6332,                 5.7095,                 2.5278,               0.001604,               0.001604,               0.001604
                     12,                 2.4625,                 10.099,                 2.3258,                0.76973,                0.08219,                0.08771,                0.05831,                 2.7257,                 5.6511,                 2.6177,              0.0015644,              0.0015644,              0.0015644
                     13,                 2.4293,                 10.111,                 2.3161,                0.76958,                0.11066,                0.08947,                0.06253,                 2.7049,                 5.4026,                 2.5394,              0.0015248,              0.0015248,              0.0015248
                     14,                 2.4295,                  9.754,                 2.2841,                 0.7734,                0.09989,                0.09856,                0.06849,                 2.6635,                 5.4173,                 2.5255,              0.0014852,              0.0014852,              0.0014852
                     15,                 2.3738,                 9.6275,                 2.2644,                0.76411,                0.09484,                0.08381,                 0.0594,                 2.7342,                 5.6283,                 2.6355,              0.0014456,              0.0014456,              0.0014456
                     16,                 2.3958,                 9.3717,                 2.2827,                0.78546,                0.07976,                0.08569,                 0.0622,                 2.7649,                 5.7132,                 2.6138,               0.001406,               0.001406,               0.001406
                     17,                  2.368,                 9.2079,                 2.2782,                0.71075,                0.08814,                0.08535,                0.06239,                  2.788,                 5.7352,                  2.664,              0.0013664,              0.0013664,              0.0013664
                     18,                  2.321,                 9.2755,                 2.2325,                0.72948,                0.09495,                0.09463,                0.06577,                 2.8157,                 5.4775,                 2.6559,              0.0013268,              0.0013268,              0.0013268
                     19,                  2.346,                 9.2794,                 2.2272,                0.79194,                0.10564,                0.10931,                0.07666,                 2.6862,                 5.3128,                 2.5598,              0.0012872,              0.0012872,              0.0012872
                     20,                 2.2311,                 9.1021,                 2.1746,                0.71095,                0.11148,                0.10474,                0.07131,                 2.6941,                  5.335,                 2.5432,              0.0012476,              0.0012476,              0.0012476
                     21,                 2.2971,                 8.6045,                 2.2307,                0.76734,                0.10682,                0.10011,                0.07098,                 2.6921,                 5.3202,                 2.5877,               0.001208,               0.001208,               0.001208
                     22,                 2.2142,                 8.4951,                  2.215,                 0.7026,                0.10471,                0.10784,                0.07407,                 2.7572,                 5.3345,                 2.6232,              0.0011684,              0.0011684,              0.0011684
                     23,                 2.1917,                 8.3924,                 2.1831,                0.77711,                 0.0889,                 0.1039,                0.06903,                 2.7705,                 5.3552,                 2.6072,              0.0011288,              0.0011288,              0.0011288
                     24,                 2.1521,                 8.3624,                 2.1578,                0.78016,                0.10091,                0.10554,                0.07209,                 2.7822,                 5.3885,                 2.6733,              0.0010892,              0.0010892,              0.0010892
                     25,                 2.2016,                 7.9992,                 2.1541,                0.69586,                0.11174,                0.10519,                0.07254,                 2.7614,                 5.2912,                 2.6405,              0.0010496,              0.0010496,              0.0010496
                     26,                  2.091,                 8.1475,                  2.161,                0.76934,                0.10379,                0.10803,                 0.0749,                 2.8073,                 5.2152,                   2.67,                0.00101,                0.00101,                0.00101
                     27,                 2.1293,                 7.9164,                 2.1545,                0.76491,                0.08261,                0.11089,                0.07623,                 2.6608,                   5.47,                 2.5894,              0.0009704,              0.0009704,              0.0009704
                     28,                 2.0298,                 7.5906,                 2.1152,                0.74229,                0.08809,                0.10933,                0.07533,                 2.7049,                 5.3383,                 2.6131,              0.0009308,              0.0009308,              0.0009308
                     29,                 2.0586,                 7.5546,                 2.1295,                0.73571,                 0.1129,                0.11628,                0.07967,                 2.7262,                 5.4438,                 2.6193,              0.0008912,              0.0008912,              0.0008912
                     30,                 2.1014,                 7.3902,                 2.1341,                0.65764,                0.12105,                0.13184,                0.08598,                 2.8001,                 5.2417,                 2.6027,              0.0008516,              0.0008516,              0.0008516
                     31,                 2.0415,                 7.2404,                 2.1232,                 0.5999,                0.12305,                 0.1242,                0.08291,                 2.8515,                 5.3004,                  2.654,               0.000812,               0.000812,               0.000812
                     32,                 1.9927,                 7.0083,                 2.0864,                0.48454,                0.11859,                0.11538,                0.07984,                 2.8601,                 5.3416,                 2.6944,              0.0007724,              0.0007724,              0.0007724
                     33,                 2.0061,                 7.0696,                 2.0794,                0.49359,                0.14891,                0.12185,                0.08381,                 2.8032,                 5.1779,                 2.5924,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.9828,                 7.0521,                 2.0572,                0.64023,                0.11257,                0.13284,                0.08485,                 2.7839,                 5.1423,                 2.6009,              0.0006932,              0.0006932,              0.0006932
                     35,                 2.0254,                 6.9369,                 2.0973,                0.53865,                0.12015,                0.12953,                0.08481,                 2.7867,                 5.2843,                 2.6134,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.9497,                 6.9394,                 2.0626,                0.48446,                0.13313,                0.12483,                0.08469,                 2.8044,                 5.3277,                 2.6228,               0.000614,               0.000614,               0.000614
                     37,                 1.8906,                 6.7535,                 2.0234,                 0.3921,                0.14973,                 0.1491,                0.09132,                 2.8016,                 5.3401,                 2.6315,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.8969,                 6.7769,                   2.03,                0.32873,                0.12625,                 0.1269,                0.08458,                 2.8433,                 5.3889,                 2.6749,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.8509,                 6.6071,                 2.0217,                0.33624,                0.13185,                0.13016,                0.08725,                  2.796,                 5.3545,                 2.6448,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.8603,                 6.6947,                 2.0013,                 0.5462,                0.11715,                0.12214,                0.08339,                 2.7657,                 5.3399,                 2.6215,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.8259,                 6.6445,                 1.9996,                 0.5932,                0.11462,                 0.1206,                0.08326,                 2.7723,                 5.2606,                 2.6283,               0.000416,               0.000416,               0.000416
                     42,                 1.7957,                  6.446,                 1.9872,                0.42269,                0.13532,                0.12158,                0.08335,                 2.7597,                 5.3411,                 2.6291,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.8027,                 6.4787,                 1.9794,                0.44267,                0.13494,                0.12307,                0.08393,                 2.8186,                 5.3146,                 2.6534,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.8601,                  6.636,                 1.9699,                0.62041,                0.10534,                0.12125,                0.08385,                 2.8153,                 5.2818,                 2.6374,              0.0002972,              0.0002972,              0.0002972
                     45,                  1.837,                 6.5972,                 1.9587,                0.45524,                0.13531,                0.12509,                 0.0865,                 2.7928,                 5.2556,                  2.642,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.7758,                 6.4459,                 1.9763,                0.33878,                0.14042,                0.12785,                 0.0864,                 2.7717,                 5.3274,                 2.6361,               0.000218,               0.000218,               0.000218
                     47,                 1.7248,                 6.3264,                  1.922,                0.62295,                0.10876,                0.13652,                0.08975,                 2.7776,                 5.3879,                 2.6415,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.7386,                  6.143,                 1.9847,                0.33321,                0.14378,                0.13412,                0.08821,                 2.7967,                 5.3404,                 2.6519,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.6656,                 6.1853,                 1.9273,                0.32057,                 0.1403,                0.13397,                0.08854,                 2.8013,                 5.2982,                 2.6522,               9.92e-05,               9.92e-05,               9.92e-05
