                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1467,                 12.219,                 3.0455,                      0,                      0,                      0,                      0,                 5.1518,                 10.198,                 7.8418,                0.06864,                0.00064,                0.00064
                      2,                 3.5781,                 9.5373,                 3.4751,                0.00573,                0.07444,                0.00735,                 0.0027,                 4.1136,                 11.578,                 5.5318,               0.036274,              0.0012743,              0.0012743
                      3,                 3.7741,                 8.7621,                 3.5917,                  0.195,                0.08252,                0.00618,                0.00202,                 4.3636,                 91.932,                 6.0689,              0.0038824,              0.0018824,              0.0018824
                      4,                 3.8201,                 8.5088,                 3.5713,                0.39747,                0.03113,                0.00977,                 0.0048,                 4.2218,                 86.214,                 4.9656,              0.0018812,              0.0018812,              0.0018812
                      5,                 3.7152,                 8.0764,                 3.4736,                0.18966,                0.11709,                0.01321,                0.00559,                 4.0552,                 49.468,                  4.567,              0.0018416,              0.0018416,              0.0018416
                      6,                 3.6364,                 7.7618,                 3.4235,                0.52338,                0.05409,                0.02906,                0.01337,                 3.8047,                  9.406,                 3.6914,               0.001802,               0.001802,               0.001802
                      7,                 3.5933,                 7.5137,                 3.4063,                 0.3675,                0.09285,                 0.0296,                0.01398,                 3.7495,                 10.599,                 3.6337,              0.0017624,              0.0017624,              0.0017624
                      8,                 3.5811,                 7.4272,                 3.3309,                0.37507,                0.05287,                0.02729,                 0.0135,                 3.6489,                 8.2778,                 3.5019,              0.0017228,              0.0017228,              0.0017228
                      9,                 3.4781,                  7.206,                 3.3352,                0.37364,                0.07122,                0.02193,                0.01308,                  3.718,                 11.173,                 3.5969,              0.0016832,              0.0016832,              0.0016832
                     10,                 3.4537,                  7.242,                 3.2731,                0.33778,                0.07214,                0.03475,                0.01674,                 3.4918,                 7.7501,                 3.4502,              0.0016436,              0.0016436,              0.0016436
                     11,                 3.4044,                 7.0125,                 3.2925,                 0.5176,                0.04338,                0.02778,                 0.0146,                 3.5811,                 8.1697,                 3.5583,               0.001604,               0.001604,               0.001604
                     12,                 3.3987,                 6.9252,                 3.2398,                0.64241,                0.03752,                0.03762,                0.01892,                 3.5971,                 7.4327,                 3.6026,              0.0015644,              0.0015644,              0.0015644
                     13,                 3.3227,                 6.7786,                 3.1762,                0.50825,                0.06221,                0.05645,                0.03455,                 3.4462,                 7.0997,                 3.4057,              0.0015248,              0.0015248,              0.0015248
                     14,                 3.2487,                 6.7084,                 3.1416,                0.47873,                 0.0919,                0.07253,                0.04981,                 3.4162,                 6.6284,                 3.3908,              0.0014852,              0.0014852,              0.0014852
                     15,                 3.3308,                 6.5333,                 3.1633,                0.56469,                0.08786,                0.05738,                 0.0337,                 3.3897,                 7.2009,                 3.3136,              0.0014456,              0.0014456,              0.0014456
                     16,                  3.284,                 6.5562,                 3.1872,                0.43176,                0.07885,                0.06111,                0.03706,                 3.3843,                 6.6872,                 3.3079,               0.001406,               0.001406,               0.001406
                     17,                 3.2708,                 6.4973,                 3.1442,                0.32934,                0.09306,                 0.0728,                0.04568,                 3.2899,                   7.07,                 3.1968,              0.0013664,              0.0013664,              0.0013664
                     18,                 3.2343,                  6.365,                 3.0426,                0.32816,                0.10733,                0.07795,                0.04219,                 3.2572,                 6.5001,                 3.1472,              0.0013268,              0.0013268,              0.0013268
                     19,                 3.1327,                 6.1649,                 2.9716,                0.53739,                 0.0777,                0.08495,                0.05837,                 3.2603,                 6.4349,                 3.1226,              0.0012872,              0.0012872,              0.0012872
                     20,                 3.1772,                 6.1892,                 3.0315,                0.57513,                0.07524,                0.06714,                0.04237,                 3.3355,                  6.444,                 3.2252,              0.0012476,              0.0012476,              0.0012476
                     21,                 3.1198,                 6.1905,                 3.0525,                0.52178,                0.07527,                0.06648,                 0.0405,                  3.274,                 6.3601,                 3.2004,               0.001208,               0.001208,               0.001208
                     22,                 3.1732,                 6.1121,                 3.0729,                0.26445,                0.08786,                0.06712,                 0.0419,                 3.1923,                 6.4997,                   3.14,              0.0011684,              0.0011684,              0.0011684
                     23,                 3.0917,                 5.9444,                 2.9902,                0.47838,                0.08037,                0.07169,                0.03819,                 3.2386,                  6.393,                 3.2171,              0.0011288,              0.0011288,              0.0011288
