                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3548,                 4.9605,                 1.3562,                      0,                      0,                      0,                      0,                 1.1689,                 4.1772,                 1.1575,                0.06962,                0.00062,                0.00062
                      2,                 1.3419,                 4.8133,                 1.2998,                      0,                      0,                      0,                      0,                 1.1748,                 4.1543,                  1.157,               0.038235,              0.0012351,              0.0012351
                      3,                 1.3339,                 4.6908,                 1.3016,                0.02662,                0.07506,                0.03932,                0.02655,                 1.2088,                 4.0752,                 1.1921,              0.0068248,              0.0018248,              0.0018248
                      4,                 1.3057,                 4.5774,                 1.2946,                0.01055,                0.43012,                0.04748,                0.03242,                 1.3158,                   3.73,                 1.3018,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.3311,                 4.3684,                 1.3266,                0.33683,                0.07678,                0.06289,                0.04299,                 1.3889,                 3.3488,                 1.4036,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.2933,                 4.1889,                 1.3409,                0.55115,                  0.093,                 0.0659,                0.04551,                  1.421,                 3.1321,                 1.4393,               0.001802,               0.001802,               0.001802
                      7,                 1.3628,                 4.1163,                 1.3594,                0.67383,                0.10452,                0.09217,                0.06014,                 1.4621,                 2.9806,                 1.4085,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.3226,                 3.8993,                 1.3252,                0.75476,                0.09558,                0.11744,                0.07951,                 1.3707,                 2.8951,                  1.383,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.3193,                 3.8506,                 1.3176,                0.77437,                0.11323,                0.10809,                0.07251,                 1.3913,                 2.7998,                 1.3971,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.3032,                  3.891,                 1.3171,                0.63842,                0.12658,                0.12908,                0.08586,                 1.3721,                 2.7035,                 1.3725,              0.0016436,              0.0016436,              0.0016436
