                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6802,                 11.628,                 3.6376,                      0,                      0,                      0,                      0,                 4.2336,                  9.368,                 4.5647,                0.06962,                0.00062,                0.00062
                      2,                 3.9225,                 9.4589,                 3.8836,                0.10963,                0.02235,                0.00096,                0.00023,                 5.2707,                 32.151,                 13.282,               0.038235,              0.0012351,              0.0012351
                      3,                 4.0008,                 8.9481,                 3.9232,                 0.0104,                0.01688,                0.00595,                0.00182,                 5.1786,                 44.468,                 7.7348,              0.0068248,              0.0018248,              0.0018248
                      4,                 3.9383,                 8.6419,                 3.8728,                0.01239,                0.04818,                0.02026,                0.00466,                 4.8454,                  237.4,                 5.5719,              0.0018812,              0.0018812,              0.0018812
                      5,                 3.9429,                 8.3454,                  3.949,                0.27929,                0.05842,                0.01814,                 0.0045,                 4.8857,                 127.47,                 5.3543,              0.0018416,              0.0018416,              0.0018416
                      6,                 3.8598,                 8.1699,                 3.8817,                0.27047,                0.06804,                0.01095,                0.00288,                 4.9813,                 105.83,                 5.4461,               0.001802,               0.001802,               0.001802
                      7,                 3.8958,                 8.0881,                 3.8708,                0.24835,                0.07035,                0.02407,                0.00919,                 4.6159,                 22.765,                 4.4747,              0.0017624,              0.0017624,              0.0017624
                      8,                 3.7574,                 7.7101,                 3.7391,                0.43448,                0.06294,                0.01924,                0.00658,                 4.7457,                 14.364,                 4.7929,              0.0017228,              0.0017228,              0.0017228
                      9,                 3.7963,                 7.5827,                 3.7618,                0.81741,                0.02522,                0.02732,                0.01058,                 4.5222,                 9.2967,                 4.3149,              0.0016832,              0.0016832,              0.0016832
                     10,                 3.7534,                 7.5325,                 3.7369,                0.34607,                0.06601,                0.03404,                0.01173,                 4.7729,                 8.9214,                 4.5365,              0.0016436,              0.0016436,              0.0016436
                     11,                 3.7171,                 7.3382,                 3.6534,                0.72716,                0.03467,                0.03207,                0.01352,                 4.4442,                 9.0467,                 4.1911,               0.001604,               0.001604,               0.001604
                     12,                 3.7056,                 7.3062,                 3.6914,                 0.6715,                0.03803,                0.04023,                0.01418,                 4.5287,                 7.3493,                 4.2434,              0.0015644,              0.0015644,              0.0015644
                     13,                 3.6456,                 7.2401,                  3.616,                0.61861,                0.03866,                0.05184,                0.01593,                 4.4118,                   7.21,                 3.9733,              0.0015248,              0.0015248,              0.0015248
                     14,                 3.6797,                 7.1078,                 3.6244,                 0.5586,                0.04432,                0.03802,                0.01583,                  4.405,                 6.9975,                 4.0266,              0.0014852,              0.0014852,              0.0014852
