                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5039,                 9.9882,                 3.1288,                0.04218,                0.04088,                0.02733,                0.00715,                  3.976,                 9.2482,                 3.5477,                0.06786,             0.00065591,             0.00065591
                      2,                 3.9872,                 8.2921,                 3.4373,                0.25855,                0.05608,                0.01214,                0.00563,                 4.4252,                 15.942,                 4.5798,               0.035167,              0.0012964,              0.0012964
                      3,                 4.0321,                 7.8316,                 3.5637,                0.32994,                 0.0374,                0.01332,                0.00583,                 4.4694,                 49.728,                 4.2688,              0.0024481,              0.0019105,              0.0019105
                      4,                 4.0924,                 7.7666,                 3.6059,                0.01958,                0.12726,                 0.0195,                0.00922,                 4.3499,                 164.34,                 4.2293,              0.0018812,              0.0018812,              0.0018812
                      5,                  4.008,                 7.4807,                 3.5198,                0.34129,                0.05694,                0.02314,                0.01235,                 4.2221,                 10.748,                 3.7794,              0.0018416,              0.0018416,              0.0018416
                      6,                 3.8674,                 7.3551,                 3.4753,                0.27255,                0.06342,                0.02442,                0.00999,                 4.1007,                 9.8833,                 3.7108,               0.001802,               0.001802,               0.001802
                      7,                 3.8275,                 7.2091,                 3.4337,                0.13323,                0.05835,                0.04344,                0.01842,                 4.1776,                 7.9275,                 3.6655,              0.0017624,              0.0017624,              0.0017624
                      8,                 3.7719,                 7.0345,                 3.3922,                 0.2608,                0.06871,                0.02327,                0.01229,                 3.8526,                 10.961,                 3.3495,              0.0017228,              0.0017228,              0.0017228
                      9,                 3.7771,                 6.9568,                 3.3477,                0.46508,                0.08526,                0.04667,                0.02972,                 3.8287,                 9.0085,                 3.2527,              0.0016832,              0.0016832,              0.0016832
                     10,                 3.6264,                 6.8193,                   3.23,                0.22914,                  0.078,                0.03438,                0.01903,                  3.793,                 7.3914,                 3.2422,              0.0016436,              0.0016436,              0.0016436
                     11,                 3.6426,                 6.7401,                 3.2039,                 0.3932,                0.07633,                0.05232,                0.03481,                 3.6968,                 7.3743,                 3.1845,               0.001604,               0.001604,               0.001604
                     12,                 3.6077,                 6.6612,                 3.2083,                0.41697,                0.09086,                0.05309,                 0.0326,                 3.7528,                 7.2311,                 3.2017,              0.0015644,              0.0015644,              0.0015644
                     13,                 3.5188,                 6.6062,                 3.1056,                0.37523,                0.06376,                0.05228,                 0.0273,                 3.6793,                 7.1362,                 3.2043,              0.0015248,              0.0015248,              0.0015248
                     14,                 3.4188,                 6.4569,                 3.0797,                0.36444,                0.06482,                0.05658,                0.03731,                 3.6153,                 6.8287,                 3.1063,              0.0014852,              0.0014852,              0.0014852
                     15,                 3.4292,                 6.3314,                 3.0677,                0.40969,                0.06234,                 0.0583,                0.03482,                 3.5176,                 7.0636,                 3.1056,              0.0014456,              0.0014456,              0.0014456
                     16,                  3.412,                 6.3272,                 3.0667,                0.29476,                0.08284,                0.06715,                0.03925,                 3.5916,                 6.7524,                 3.0957,               0.001406,               0.001406,               0.001406
                     17,                 3.3461,                 6.2282,                 3.0465,                0.22764,                0.10765,                0.06535,                0.04142,                 3.6529,                 6.6788,                 3.1288,              0.0013664,              0.0013664,              0.0013664
                     18,                 3.3031,                 6.1195,                 2.9664,                0.32321,                0.09532,                0.06956,                0.04176,                 3.5672,                 6.5364,                 3.0301,              0.0013268,              0.0013268,              0.0013268
                     19,                 3.3595,                 6.1085,                 2.9963,                0.37399,                0.10784,                0.05842,                0.03793,                 3.5259,                 6.5955,                  3.084,              0.0012872,              0.0012872,              0.0012872
                     20,                   3.28,                 6.0309,                 2.9732,                0.39678,                0.09935,                0.06091,                0.03777,                 3.5066,                  6.689,                 3.0066,              0.0012476,              0.0012476,              0.0012476
                     21,                 3.2413,                 5.9436,                 2.8976,                0.33872,                0.12276,                0.07447,                0.05103,                 3.4386,                  6.394,                 2.9873,               0.001208,               0.001208,               0.001208
                     22,                 3.2259,                  5.891,                 2.9412,                0.31577,                0.11709,                0.07029,                0.04547,                 3.4745,                 6.3868,                 3.0343,              0.0011684,              0.0011684,              0.0011684
                     23,                 3.1971,                 5.7326,                  2.866,                0.44326,                0.10291,                0.08703,                0.05436,                 3.4478,                 6.2482,                 2.9277,              0.0011288,              0.0011288,              0.0011288
                     24,                 3.1399,                 5.7376,                 2.8827,                0.32411,                0.10238,                0.08792,                0.05399,                 3.4183,                 6.2911,                 2.9563,              0.0010892,              0.0010892,              0.0010892
                     25,                 3.0082,                 5.6522,                 2.8149,                0.33369,                0.10975,                0.07308,                0.04801,                 3.2989,                 6.1684,                    2.9,              0.0010496,              0.0010496,              0.0010496
                     26,                 3.0892,                 5.6452,                 2.8217,                0.34644,                0.10971,                0.08163,                0.05333,                 3.3575,                 6.3402,                 2.9384,                0.00101,                0.00101,                0.00101
                     27,                 3.0086,                 5.4971,                 2.7829,                0.16847,                0.11462,                0.08905,                 0.0552,                 3.4362,                 6.1586,                 2.9746,              0.0009704,              0.0009704,              0.0009704
                     28,                 3.0267,                 5.5039,                 2.8128,                0.32726,                0.12974,                0.09041,                 0.0574,                 3.3356,                 6.1252,                 2.9258,              0.0009308,              0.0009308,              0.0009308
