epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,194.031,2.70694,8.93621,2.68042,0.68081,0.11045,0.11482,0.06337,3.12526,5.46556,2.78999,0.0011288,0.0011288,0.0011288
24,201.744,2.70173,8.8443,2.65999,0.81202,0.09662,0.12814,0.06552,3.42492,5.63442,2.99768,0.0010892,0.0010892,0.0010892
25,209.305,2.73034,8.50742,2.71035,0.80381,0.09447,0.12827,0.06397,3.30444,5.44763,2.88633,0.0010496,0.0010496,0.0010496
26,216.821,2.65327,8.85689,2.66266,0.6922,0.09533,0.11441,0.05784,3.34928,5.45098,2.92649,0.00101,0.00101,0.00101
27,224.688,2.6136,8.337,2.61507,0.7474,0.09995,0.1309,0.06763,3.41964,5.47834,3.02769,0.0009704,0.0009704,0.0009704
28,231.802,2.67288,8.51719,2.69467,0.73572,0.10153,0.11484,0.06284,3.15113,5.45543,2.81773,0.0009308,0.0009308,0.0009308
29,238.751,2.58956,8.5978,2.61401,0.79556,0.0951,0.1226,0.06511,3.21714,5.42441,2.8318,0.0008912,0.0008912,0.0008912
30,245.904,2.61087,8.21914,2.60847,0.74813,0.10289,0.11619,0.06082,3.15794,5.41421,2.87135,0.0008516,0.0008516,0.0008516
31,253.324,2.6732,8.00087,2.6834,0.83317,0.08372,0.13301,0.07057,3.09501,5.29488,2.76866,0.000812,0.000812,0.000812
32,260.479,2.58721,8.04816,2.60243,0.73899,0.09805,0.13169,0.06929,3.10273,5.30548,2.78369,0.0007724,0.0007724,0.0007724
33,267.787,2.56463,8.03993,2.5951,0.75048,0.08711,0.12748,0.06853,3.10272,5.35561,2.7635,0.0007328,0.0007328,0.0007328
34,275.317,2.56673,7.86939,2.57478,0.6131,0.10845,0.13633,0.0748,3.13914,5.35493,2.81781,0.0006932,0.0006932,0.0006932
35,282.604,2.51564,7.53125,2.52656,0.80613,0.10939,0.14074,0.07138,3.15249,5.32596,2.82434,0.0006536,0.0006536,0.0006536
36,289.987,2.53348,7.7509,2.5957,0.80293,0.11511,0.13675,0.067,3.23466,5.22557,2.83829,0.000614,0.000614,0.000614
37,297.249,2.52768,7.72007,2.56534,0.67745,0.10991,0.12928,0.07035,3.15946,5.37913,2.80865,0.0005744,0.0005744,0.0005744
38,304.769,2.45992,7.59579,2.51825,0.57436,0.13092,0.1328,0.07102,3.19945,5.3262,2.83512,0.0005348,0.0005348,0.0005348
39,311.776,2.51976,7.44746,2.54015,0.68667,0.12468,0.15009,0.07291,3.39712,5.33603,2.92109,0.0004952,0.0004952,0.0004952
40,319.003,2.49185,7.65354,2.49742,0.68503,0.11512,0.1458,0.07877,3.31105,5.26381,2.8459,0.0004556,0.0004556,0.0004556
41,335.858,2.4423,7.78269,2.49128,0.68393,0.12411,0.15943,0.07983,3.26539,5.24315,2.84079,0.000416,0.000416,0.000416
42,344.699,2.34861,7.53478,2.45523,0.63008,0.12116,0.15777,0.07754,3.21156,5.2093,2.82668,0.0003764,0.0003764,0.0003764
43,352.898,2.42123,7.5432,2.45549,0.7627,0.10743,0.14211,0.07376,3.17931,5.23428,2.80527,0.0003368,0.0003368,0.0003368
44,360.313,2.33954,7.55044,2.43502,0.70761,0.10337,0.13419,0.07084,3.15689,5.2527,2.77814,0.0002972,0.0002972,0.0002972
45,367.691,2.36739,7.59212,2.44577,0.69375,0.12577,0.13903,0.07267,3.22232,5.18724,2.83541,0.0002576,0.0002576,0.0002576
46,375.237,2.28353,7.46291,2.41926,0.6869,0.12603,0.14253,0.07597,3.07623,5.16135,2.75466,0.000218,0.000218,0.000218
47,382.784,2.32563,7.43712,2.42196,0.70791,0.11768,0.1418,0.07573,3.07887,5.1663,2.75637,0.0001784,0.0001784,0.0001784
48,390.986,2.31874,7.22993,2.42046,0.69925,0.11652,0.14659,0.07677,3.1012,5.18329,2.7688,0.0001388,0.0001388,0.0001388
49,398.909,2.29446,7.3053,2.34933,0.62709,0.12878,0.14977,0.07705,3.14875,5.17299,2.7819,9.92e-05,9.92e-05,9.92e-05
50,406.922,2.26573,7.2235,2.38211,0.62237,0.13045,0.14744,0.07619,3.14426,5.19466,2.78083,5.96e-05,5.96e-05,5.96e-05
