epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.0769,3.75793,14.0317,3.54935,0,0,0,0,2.51879,8.56765,2.46434,0.06962,0.00062,0.00062
2,40.133,3.25603,13.3611,3.19189,0.0081,0.0081,0.01157,0.0081,3.25198,8.76846,2.96695,0.0382351,0.00123505,0.00123505
3,47.7191,3.07167,12.4538,3.00311,0.00922,0.16626,0.02583,0.01241,3.4072,8.27528,2.92769,0.00682476,0.00182476,0.00182476
4,54.4561,3.09587,12.2041,2.90493,0.87908,0.02098,0.02903,0.01351,3.53446,7.71998,3.141,0.0018812,0.0018812,0.0018812
5,61.5825,3.08927,11.8835,2.9861,0.77443,0.036,0.041,0.0212,3.61906,7.00869,3.16842,0.0018416,0.0018416,0.0018416
6,69.9622,3.12399,11.7066,3.03477,0.73386,0.04514,0.04114,0.02118,3.64984,7.11807,3.25032,0.001802,0.001802,0.001802
7,77.4194,3.04111,11.3948,3.04672,0.6887,0.07928,0.05925,0.03115,3.43012,6.61429,3.06671,0.0017624,0.0017624,0.0017624
8,84.6157,3.06241,11.2887,3.02456,0.76595,0.08561,0.06759,0.03481,3.582,6.45703,3.17685,0.0017228,0.0017228,0.0017228
9,92.5517,3.02194,10.7546,2.97414,0.76137,0.06271,0.06568,0.03609,3.51584,6.22331,3.10856,0.0016832,0.0016832,0.0016832
10,99.9673,3.06584,10.5546,3.01378,0.74762,0.08508,0.06555,0.0347,3.60265,6.18542,3.21546,0.0016436,0.0016436,0.0016436
11,107.066,2.99103,10.4413,2.95089,0.74552,0.08274,0.06206,0.03432,3.33124,5.92976,2.89964,0.001604,0.001604,0.001604
12,114.341,2.99821,10.2004,2.88681,0.76221,0.07103,0.06182,0.02998,3.52687,6.04461,3.08468,0.0015644,0.0015644,0.0015644
13,121.976,3.00992,10.3802,2.92283,0.74506,0.09373,0.06189,0.03183,3.51003,6.01856,3.11054,0.0015248,0.0015248,0.0015248
14,129.811,2.88776,10.1375,2.86946,0.69226,0.09282,0.07089,0.04058,3.2694,5.82208,2.91522,0.0014852,0.0014852,0.0014852
15,136.79,2.85033,9.83376,2.81629,0.80738,0.08201,0.08403,0.04761,3.17231,5.9276,2.89425,0.0014456,0.0014456,0.0014456
16,143.764,2.87217,9.51505,2.80732,0.89098,0.07313,0.07873,0.03779,3.56536,5.98779,3.16404,0.001406,0.001406,0.001406
17,150.686,2.88042,9.43298,2.78888,0.7273,0.07484,0.07614,0.04275,3.20712,5.7411,2.87643,0.0013664,0.0013664,0.0013664
18,157.675,2.77651,9.47936,2.78742,0.71416,0.09504,0.07281,0.04088,3.13487,5.74345,2.81906,0.0013268,0.0013268,0.0013268
19,164.605,2.7718,9.6125,2.76957,0.75723,0.09905,0.08863,0.04331,3.47789,5.77426,3.0875,0.0012872,0.0012872,0.0012872
20,172.209,2.81346,9.21331,2.76082,0.77141,0.08543,0.08111,0.0424,3.27588,5.76731,2.84845,0.0012476,0.0012476,0.0012476
21,179.716,2.75636,8.98199,2.74169,0.71558,0.10426,0.09015,0.04803,3.18458,5.82579,2.83839,0.001208,0.001208,0.001208
22,186.883,2.78577,8.97885,2.73121,0.77929,0.07187,0.09576,0.05168,3.12612,5.66332,2.78907,0.0011684,0.0011684,0.0011684
