                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6872,                 13.924,                  2.545,                      0,                      0,                      0,                      0,                 2.3441,                 8.3984,                 2.2953,                0.06962,                0.00062,                0.00062
                      2,                  2.622,                 13.012,                 2.4692,                0.01754,                0.01312,                0.01198,                0.00839,                 2.2907,                 8.3095,                 2.2512,               0.038235,              0.0012351,              0.0012351
                      3,                 2.6245,                 12.409,                 2.4012,                0.00627,                0.31863,                0.03057,                0.02352,                 2.3895,                 7.7586,                 2.3544,              0.0068248,              0.0018248,              0.0018248
                      4,                 2.6191,                 12.104,                 2.5078,                0.68762,                0.05722,                0.05065,                0.03526,                 2.7034,                 6.7314,                 2.4894,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.6411,                 11.654,                 2.5008,                0.59542,                0.07257,                0.05501,                0.03679,                 2.8066,                  6.639,                  2.629,              0.0018416,              0.0018416,              0.0018416
                      6,                 2.6566,                 11.242,                 2.5178,                0.65966,                0.07127,                0.05285,                0.03433,                 2.8659,                 6.5013,                 2.7137,               0.001802,               0.001802,               0.001802
                      7,                 2.6397,                 11.023,                 2.4988,                0.76356,                0.07502,                0.07726,                0.04854,                 2.8649,                 6.2662,                  2.778,              0.0017624,              0.0017624,              0.0017624
                      8,                 2.5795,                 11.058,                 2.4971,                 0.7047,                0.06406,                0.06686,                0.04293,                 2.8575,                 6.0015,                 2.7294,              0.0017228,              0.0017228,              0.0017228
                      9,                 2.5204,                  10.39,                 2.4665,                0.75764,                0.07212,                0.08568,                0.06206,                 2.7493,                 5.9725,                 2.6769,              0.0016832,              0.0016832,              0.0016832
                     10,                 2.4773,                 10.626,                 2.3946,                0.76447,                 0.0703,                0.07682,                0.05695,                  2.784,                 5.9323,                 2.7156,              0.0016436,              0.0016436,              0.0016436
                     11,                 2.5487,                 9.9627,                 2.4033,                0.73604,                0.07418,                0.06488,                0.04496,                 2.8464,                 5.9461,                 2.6901,               0.001604,               0.001604,               0.001604
