                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6572,                 13.515,                 2.5684,                      0,                      0,                      0,                      0,                 2.3198,                 8.3941,                 2.2915,                0.06962,                0.00062,                0.00062
                      2,                 2.6483,                 12.525,                 2.4508,                0.04318,                0.02238,                0.02873,                0.02089,                  2.319,                 8.2773,                 2.3038,               0.038235,              0.0012351,              0.0012351
                      3,                 2.6622,                 12.001,                 2.4359,                0.76251,                0.02609,                0.04092,                0.03005,                 2.6033,                 7.5852,                 2.3683,              0.0068248,              0.0018248,              0.0018248
                      4,                 2.6018,                 11.706,                 2.4812,                0.47796,                0.05741,                0.04503,                0.03424,                 2.7358,                 6.9736,                 2.6308,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.7257,                 11.241,                 2.5412,                0.76913,                0.04873,                 0.0466,                0.03297,                 2.7558,                 6.5066,                 2.6096,              0.0018416,              0.0018416,              0.0018416
                      6,                 2.6054,                 10.809,                 2.4907,                0.65013,                0.08446,                0.06066,                0.04389,                 2.8126,                 6.1939,                 2.6515,               0.001802,               0.001802,               0.001802
                      7,                 2.6892,                  10.92,                 2.5248,                0.74699,                0.07533,                0.06635,                0.04975,                 2.7268,                  5.953,                  2.621,              0.0017624,              0.0017624,              0.0017624
                      8,                 2.6192,                 9.9911,                  2.468,                0.75581,                0.08991,                0.07211,                0.05186,                 2.7807,                 5.7756,                 2.5853,              0.0017228,              0.0017228,              0.0017228
                      9,                 2.6198,                 9.9388,                 2.4585,                0.76957,                0.08933,                0.09283,                0.06698,                 2.7582,                 5.6384,                 2.5849,              0.0016832,              0.0016832,              0.0016832
                     10,                 2.5125,                 10.253,                 2.4052,                0.76872,                0.09174,                0.09686,                0.06678,                  2.805,                 5.6861,                   2.65,              0.0016436,              0.0016436,              0.0016436
                     11,                 2.5368,                 9.6182,                 2.3904,                0.78371,                0.09259,                0.08917,                0.06101,                 2.7332,                 5.5214,                  2.608,               0.001604,               0.001604,               0.001604
                     12,                 2.4548,                  9.347,                 2.3851,                 0.8139,                0.07097,                 0.0901,                0.06304,                 2.7702,                 5.5614,                 2.6524,              0.0015644,              0.0015644,              0.0015644
                     13,                 2.4684,                 9.4631,                 2.3965,                0.76247,                0.09767,                0.08885,                0.05948,                 2.7985,                 5.5791,                 2.6401,              0.0015248,              0.0015248,              0.0015248
                     14,                 2.4402,                 9.1047,                 2.3606,                0.78405,                0.09575,                0.10717,                0.07599,                 2.7539,                 5.2689,                 2.5852,              0.0014852,              0.0014852,              0.0014852
                     15,                 2.4143,                 8.8781,                 2.3047,                0.79103,                0.09583,                0.10547,                0.07361,                 2.6678,                  5.422,                  2.586,              0.0014456,              0.0014456,              0.0014456
                     16,                 2.3659,                 8.6064,                 2.3162,                0.81074,                0.08892,                0.11903,                0.08001,                 2.7079,                 5.4026,                 2.6296,               0.001406,               0.001406,               0.001406
                     17,                 2.3838,                 8.4643,                 2.2953,                0.77139,                0.12495,                0.10764,                0.07035,                 2.7669,                 5.5004,                 2.6108,              0.0013664,              0.0013664,              0.0013664
                     18,                  2.345,                 8.4247,                 2.2904,                0.69068,                0.10164,                0.09439,                0.06377,                 2.8162,                 5.4097,                 2.6171,              0.0013268,              0.0013268,              0.0013268
                     19,                 2.2661,                 8.6112,                 2.2836,                 0.7134,                0.11838,                0.10345,                0.07154,                 2.7029,                 5.4223,                 2.5842,              0.0012872,              0.0012872,              0.0012872
                     20,                 2.2716,                 8.5498,                 2.2409,                0.67028,                0.11462,                0.12018,                 0.0818,                 2.7192,                  5.274,                 2.5624,              0.0012476,              0.0012476,              0.0012476
                     21,                 2.2701,                 7.9799,                 2.2304,                 0.7854,                0.10035,                0.11846,                0.08183,                 2.7539,                 5.3517,                 2.5949,               0.001208,               0.001208,               0.001208
                     22,                 2.2449,                 7.7278,                 2.2049,                0.79869,                0.09798,                0.13082,                0.09027,                 2.7335,                 5.2947,                 2.5869,              0.0011684,              0.0011684,              0.0011684
                     23,                  2.255,                 7.6932,                 2.2369,                0.60057,                0.13461,                0.12468,                 0.0864,                 2.7189,                 5.2843,                 2.5726,              0.0011288,              0.0011288,              0.0011288
                     24,                 2.1827,                 7.5342,                 2.1733,                0.70839,                0.09783,                0.13608,                0.09142,                 2.7277,                 5.1993,                 2.5632,              0.0010892,              0.0010892,              0.0010892
                     25,                 2.2177,                 7.3742,                 2.2273,                0.69509,                0.09425,                0.12842,                0.08709,                 2.7794,                 5.2789,                 2.5958,              0.0010496,              0.0010496,              0.0010496
                     26,                 2.1673,                 7.5953,                 2.1835,                0.58074,                0.11941,                0.14038,                0.09301,                  2.738,                 5.1688,                 2.5848,                0.00101,                0.00101,                0.00101
                     27,                  2.097,                 7.3529,                 2.1529,                0.49407,                 0.1428,                0.13083,                0.08951,                 2.7127,                   5.39,                 2.5685,              0.0009704,              0.0009704,              0.0009704
                     28,                 2.0607,                 7.2068,                  2.129,                0.45048,                0.13562,                   0.14,                0.09151,                 2.8092,                  5.246,                 2.6298,              0.0009308,              0.0009308,              0.0009308
                     29,                 2.0926,                 6.9315,                 2.1495,                0.49508,                0.12547,                0.13323,                0.08937,                 2.7909,                 5.2755,                 2.6282,              0.0008912,              0.0008912,              0.0008912
                     30,                 2.0547,                 7.0063,                 2.1046,                0.45426,                0.13892,                0.13526,                0.08814,                 2.7379,                 5.3418,                 2.6174,              0.0008516,              0.0008516,              0.0008516
                     31,                  2.047,                 6.8433,                 2.1102,                0.51024,                0.12135,                0.11942,                0.08274,                 2.7713,                 5.3703,                 2.6325,               0.000812,               0.000812,               0.000812
                     32,                 1.9934,                 6.6575,                 2.0813,                0.44859,                0.15444,                 0.1332,                0.08957,                 2.7687,                 5.3139,                 2.6588,              0.0007724,              0.0007724,              0.0007724
                     33,                 2.0031,                 6.4481,                  2.106,                0.46235,                0.15138,                0.13472,                0.09163,                 2.6464,                 5.4003,                 2.6194,              0.0007328,              0.0007328,              0.0007328
                     34,                 2.0417,                 6.6824,                  2.091,                0.51558,                0.15034,                0.12766,                0.08674,                 2.6747,                 5.3811,                 2.6141,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.9802,                  6.215,                 2.0871,                0.52055,                0.13397,                0.12898,                0.08637,                 2.7197,                 5.2572,                  2.615,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.9572,                 6.3174,                 2.0924,                0.42814,                0.15355,                0.14853,                 0.0914,                 2.7115,                  5.365,                 2.6058,               0.000614,               0.000614,               0.000614
                     37,                 1.9016,                 6.1723,                 2.0569,                0.37875,                0.14195,                 0.1308,                0.08967,                 2.7008,                 5.4599,                  2.619,              0.0005744,              0.0005744,              0.0005744
                     38,                  1.919,                 6.3423,                 2.0732,                0.44874,                0.14908,                0.12717,                0.08548,                 2.6789,                 5.4551,                  2.588,              0.0005348,              0.0005348,              0.0005348
