                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.8026,                 12.328,                 7.1464,                0.15793,                0.00292,                  2e-05,                  1e-05,                 8.2561,                    inf,                  161.2,                0.06962,                0.00062,                0.00062
                      2,                  6.052,                 11.301,                 6.7706,                0.15793,                0.00292,                  2e-05,                  1e-05,                 7.5994,                 66.907,                 19.598,               0.038235,              0.0012351,              0.0012351
                      3,                 6.0018,                  10.56,                 5.8081,                0.15793,                0.00292,                  2e-05,                  1e-05,                 7.9033,                 490.52,                 10.795,              0.0068248,              0.0018248,              0.0018248
                      4,                 6.0309,                 10.351,                 5.7131,                0.05273,                0.02276,                0.00011,                  4e-05,                 7.9349,                    inf,                 14.627,              0.0018812,              0.0018812,              0.0018812
                      5,                 6.0881,                 9.9275,                 5.6141,                 0.1053,                0.01365,                  3e-05,                  1e-05,                 8.2119,                    inf,                 10.236,              0.0018416,              0.0018416,              0.0018416
                      6,                 6.0186,                 9.8166,                 5.5671,                0.00013,                 0.0141,                0.00015,                  2e-05,                 7.8947,                 87.301,                 10.352,               0.001802,               0.001802,               0.001802
                      7,                 6.0719,                 9.8421,                 5.6271,                0.21068,                0.00443,                0.00022,                 0.0001,                 7.8021,                 174.86,                 13.351,              0.0017624,              0.0017624,              0.0017624
                      8,                 5.9802,                 9.7685,                 5.5908,                  2e-05,                0.01462,                0.00012,                  4e-05,                 7.4923,                  59.82,                 13.046,              0.0017228,              0.0017228,              0.0017228
                      9,                 5.9123,                 9.6842,                  5.538,                0.10528,                0.00097,                  1e-05,                      0,                 7.2341,                 399.46,                 20.298,              0.0016832,              0.0016832,              0.0016832
                     10,                  5.748,                 9.7434,                   5.49,                  1e-05,                0.01215,                  1e-05,                      0,                 7.2837,                 16.976,                 19.915,              0.0016436,              0.0016436,              0.0016436
                     11,                 5.6385,                 9.5579,                 5.3795,                0.00019,                 0.0282,                 0.0002,                  5e-05,                 6.8596,                  8.946,                 11.222,               0.001604,               0.001604,               0.001604
                     12,                 5.6363,                 9.3802,                 5.4226,                0.00019,                 0.0282,                 0.0002,                  5e-05,                 7.7103,                 12.448,                 11.401,              0.0015644,              0.0015644,              0.0015644
                     13,                 5.4368,                 9.3692,                 5.2686,                0.00076,                0.04032,                0.00111,                0.00027,                 6.6318,                 9.8009,                 9.4959,              0.0015248,              0.0015248,              0.0015248
                     14,                 5.3719,                 9.4045,                 5.3087,                0.00019,                0.04164,                0.00211,                0.00099,                 6.4669,                 8.8771,                 13.567,              0.0014852,              0.0014852,              0.0014852
                     15,                 5.3905,                 9.2278,                 5.2902,                0.00014,                0.04237,                0.00016,                  3e-05,                 6.7215,                 11.452,                 8.9571,              0.0014456,              0.0014456,              0.0014456
                     16,                 5.3201,                 9.4046,                 5.2485,                0.00044,                0.01095,                0.00044,                  8e-05,                 6.7778,                 11.441,                  7.025,               0.001406,               0.001406,               0.001406
                     17,                 5.3071,                 9.4035,                  5.261,                0.00061,                0.11587,                0.00122,                 0.0003,                 6.4102,                 8.7408,                 6.5062,              0.0013664,              0.0013664,              0.0013664
                     18,                 5.2327,                  9.428,                 5.1852,                0.00025,                0.07711,                0.00312,                0.00104,                 6.3584,                 41.406,                 6.6846,              0.0013268,              0.0013268,              0.0013268
                     19,                  5.007,                    9.3,                 5.1121,                0.00012,                0.03173,                 0.0001,                  2e-05,                 6.3278,                 16.605,                 6.3288,              0.0012872,              0.0012872,              0.0012872
                     20,                  5.036,                 9.4073,                 5.0984,                0.00017,                0.04874,                0.00028,                  6e-05,                 6.4449,                 9.9407,                 6.2899,              0.0012476,              0.0012476,              0.0012476
                     21,                 5.0993,                 9.2802,                  5.107,                0.00017,                0.04874,                0.00028,                  6e-05,                 7.2341,                 12.293,                 6.7102,               0.001208,               0.001208,               0.001208
                     22,                 5.1046,                 9.2084,                 5.0932,                0.00017,                0.04874,                0.00028,                  6e-05,                 6.5717,                 12.474,                 6.8746,              0.0011684,              0.0011684,              0.0011684
                     23,                 5.0252,                 9.3532,                 5.0692,                0.00287,                  0.006,                0.00158,                0.00094,                 6.6076,                 10.125,                 6.4855,              0.0011288,              0.0011288,              0.0011288
                     24,                 5.0429,                 9.2556,                 5.0825,                0.00144,                0.04465,                0.00135,                 0.0003,                 6.1921,                 9.8786,                 5.9741,              0.0010892,              0.0010892,              0.0010892
                     25,                 4.9671,                 9.2446,                 5.0359,                0.00082,                0.08318,                0.00121,                0.00028,                 6.0158,                 8.6522,                 6.0148,              0.0010496,              0.0010496,              0.0010496
                     26,                  5.146,                 9.2207,                 5.1122,                0.00157,                0.00397,                0.00093,                0.00059,                 6.1573,                 8.9068,                 6.1306,                0.00101,                0.00101,                0.00101
                     27,                 4.9641,                 9.1221,                 4.9903,                0.00117,                0.00713,                0.00129,                0.00039,                 6.2074,                 10.973,                 6.2334,              0.0009704,              0.0009704,              0.0009704
                     28,                 4.9933,                 9.0207,                 4.9844,                0.00164,                0.06183,                0.00296,                0.00067,                 5.9498,                 8.5858,                 5.7762,              0.0009308,              0.0009308,              0.0009308
                     29,                 4.9462,                 9.0707,                 4.9835,                0.00044,                0.10951,                0.00176,                0.00064,                 6.1355,                 14.211,                 5.9294,              0.0008912,              0.0008912,              0.0008912
                     30,                  4.965,                 9.0768,                 4.9473,                0.00209,                0.02568,                 0.0054,                0.00253,                 6.0649,                 9.1267,                  5.739,              0.0008516,              0.0008516,              0.0008516
                     31,                 4.8892,                 9.0542,                 4.8668,                0.36922,                0.00682,                0.00157,                0.00036,                   5.93,                 13.558,                 6.7172,               0.000812,               0.000812,               0.000812
                     32,                 4.8265,                 8.9678,                 4.9047,                  0.002,                0.04331,                0.00207,                0.00043,                 6.1176,                 11.808,                  6.469,              0.0007724,              0.0007724,              0.0007724
                     33,                 4.9036,                 8.9639,                 4.8888,                0.00618,                0.03315,                0.00478,                0.00099,                 5.9906,                 9.3803,                 5.6309,              0.0007328,              0.0007328,              0.0007328
                     34,                 4.9867,                 8.9486,                 4.8924,                0.00521,                0.01579,                0.00353,                0.00115,                 6.0298,                 9.5685,                 5.5758,              0.0006932,              0.0006932,              0.0006932
                     35,                 4.9154,                 8.8911,                 4.8299,                0.00061,                0.08658,                0.00142,                0.00035,                 5.9245,                 9.3069,                 5.7476,              0.0006536,              0.0006536,              0.0006536
                     36,                  4.907,                 8.9168,                 4.8714,                0.00167,                0.07921,                0.00291,                0.00078,                 5.9951,                 8.9497,                 5.6906,               0.000614,               0.000614,               0.000614
                     37,                 4.8367,                 8.8092,                 4.8126,                0.00215,                0.09789,                0.00731,                0.00213,                 5.8745,                  8.493,                 5.4664,              0.0005744,              0.0005744,              0.0005744
                     38,                 4.8327,                 8.8579,                 4.7801,                0.00316,                0.06642,                0.01592,                0.00876,                  5.865,                 8.8849,                 5.5426,              0.0005348,              0.0005348,              0.0005348
                     39,                 4.8113,                 8.8165,                 4.7712,                0.00948,                0.06648,                0.01336,                0.00567,                 5.8708,                 9.3839,                 5.4237,              0.0004952,              0.0004952,              0.0004952
                     40,                 4.8097,                 8.8609,                 4.7528,                0.00469,                0.13567,                0.01292,                 0.0055,                 5.7512,                 8.9706,                 5.4593,              0.0004556,              0.0004556,              0.0004556
                     41,                 4.8446,                 8.8648,                 4.8138,                0.00433,                0.10777,                0.00859,                0.00276,                 5.9256,                 8.6712,                 5.4529,               0.000416,               0.000416,               0.000416
                     42,                 4.6633,                 8.6871,                 4.7385,                0.00205,                0.06245,                0.00539,                0.00153,                 5.9525,                 8.7885,                 5.4875,              0.0003764,              0.0003764,              0.0003764
                     43,                 4.7517,                 8.7484,                 4.7634,                0.00338,                 0.1023,                 0.0197,                0.00983,                 5.7932,                 8.4296,                 5.6094,              0.0003368,              0.0003368,              0.0003368
                     44,                 4.7077,                 8.6735,                 4.7067,                 0.0045,                0.06794,                0.00852,                0.00357,                 5.7378,                 8.6296,                 5.5352,              0.0002972,              0.0002972,              0.0002972
                     45,                 4.7233,                 8.6202,                  4.659,                0.00838,                0.06935,                0.01156,                0.00349,                 5.7423,                 8.6821,                   5.38,              0.0002576,              0.0002576,              0.0002576
                     46,                 4.7211,                 8.6204,                 4.6913,                0.00401,                0.11166,                0.01795,                0.00498,                 5.7642,                 8.4567,                 5.2746,               0.000218,               0.000218,               0.000218
                     47,                  4.745,                 8.5045,                 4.6513,                0.00379,                0.14029,                0.01788,                 0.0047,                  5.668,                 8.3973,                 5.2362,              0.0001784,              0.0001784,              0.0001784
                     48,                 4.7739,                 8.5573,                 4.7429,                0.64726,                0.01157,                0.01835,                0.00532,                 5.5861,                 8.1613,                 5.2033,              0.0001388,              0.0001388,              0.0001388
                     49,                 4.6419,                 8.4977,                 4.6658,                0.65094,                0.02516,                 0.0176,                0.00558,                 5.5776,                  8.056,                 5.2091,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 4.7065,                 8.5298,                 4.6897,                0.16095,                0.12822,                0.02342,                0.00851,                 5.6134,                  8.023,                 5.2404,               5.96e-05,               5.96e-05,               5.96e-05
