                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1796,                 11.426,                 2.9495,                      0,                      0,                      0,                      0,                 4.1081,                 9.2866,                 3.9336,                0.06962,                0.00062,                0.00062
                      2,                 3.7246,                 9.1541,                 3.3971,                0.32529,                 0.0081,                0.00656,                 0.0028,                 3.9299,                 10.785,                 6.2701,               0.038235,              0.0012351,              0.0012351
                      3,                 3.8238,                  8.548,                 3.4965,                0.34158,                0.01425,                0.00748,                 0.0035,                 4.1267,                 43.526,                  5.294,              0.0068248,              0.0018248,              0.0018248
                      4,                 3.7366,                 8.2587,                 3.4179,                0.55347,                 0.0481,                0.02164,                0.00653,                 4.1087,                 23.232,                 4.6595,              0.0018812,              0.0018812,              0.0018812
                      5,                 3.7588,                 7.8172,                 3.4888,                0.31918,                0.12273,                0.01865,                 0.0052,                 3.9141,                 66.414,                 4.2373,              0.0018416,              0.0018416,              0.0018416
                      6,                 3.5912,                 7.5798,                 3.3702,                0.49908,                0.04462,                0.01717,                0.00825,                 3.6562,                 35.802,                 3.9156,               0.001802,               0.001802,               0.001802
                      7,                 3.6415,                 7.5841,                 3.3611,                0.62254,                0.06347,                  0.034,                0.01818,                 3.6058,                 12.967,                  3.671,              0.0017624,              0.0017624,              0.0017624
                      8,                 3.5392,                 7.2287,                 3.3186,                0.39645,                0.07922,                0.03346,                0.01617,                 3.7394,                 17.431,                 3.7771,              0.0017228,              0.0017228,              0.0017228
                      9,                 3.5284,                 7.0025,                  3.264,                0.51501,                0.06348,                0.04521,                0.02213,                  3.799,                 7.3383,                 3.5922,              0.0016832,              0.0016832,              0.0016832
                     10,                 3.4631,                  6.896,                 3.2329,                0.40585,                0.07923,                0.03792,                0.01984,                 3.6243,                 7.3524,                 3.5213,              0.0016436,              0.0016436,              0.0016436
