                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0078,                 5.0764,                 1.9227,                      0,                      0,                      0,                      0,                 1.2301,                 4.2245,                 1.2075,                0.06962,                0.00062,                0.00062
                      2,                 1.7313,                 4.9521,                 1.7333,                      0,                      0,                      0,                      0,                 1.5353,                 4.2981,                 1.4007,               0.038254,              0.0012538,              0.0012538
                      3,                 1.6361,                 4.8059,                  1.564,                0.02436,                0.04036,                0.02051,                 0.0116,                 1.7586,                  4.289,                 1.5684,              0.0068812,              0.0018812,              0.0018812
                      4,                 1.5895,                 4.7425,                 1.5779,                0.01059,                0.31271,                0.02818,                 0.0109,                 1.8806,                 3.9805,                 1.6927,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.5944,                 4.6447,                 1.6275,                 0.4109,                0.04619,                0.04072,                0.01561,                 1.8079,                 3.6315,                 1.7082,              0.0019604,              0.0019604,              0.0019604
                      6,                 1.5791,                 4.4427,                  1.635,                0.48433,                 0.0688,                0.04244,                0.01598,                 1.9003,                 3.3903,                 1.7984,              0.0019505,              0.0019505,              0.0019505
                      7,                 1.6149,                 4.4234,                 1.6594,                0.62285,                 0.0754,                0.05737,                0.02394,                 1.9186,                 3.2791,                 1.7507,              0.0019406,              0.0019406,              0.0019406
                      8,                  1.611,                 4.2103,                 1.6309,                0.48219,                0.09817,                0.07186,                0.03341,                 1.9072,                 3.2158,                 1.7769,              0.0019307,              0.0019307,              0.0019307
                      9,                 1.5952,                 4.1123,                 1.6417,                  0.657,                0.11478,                0.09114,                0.04106,                  1.935,                 3.1416,                 1.7621,              0.0019208,              0.0019208,              0.0019208
                     10,                 1.5881,                 4.1412,                 1.6257,                0.72376,                0.10478,                0.08945,                0.04023,                 1.9608,                 3.1098,                 1.7804,              0.0019109,              0.0019109,              0.0019109
                     11,                 1.5828,                 3.9353,                 1.6173,                0.71232,                0.11429,                0.09098,                0.04267,                 1.8559,                 3.0734,                 1.7132,               0.001901,               0.001901,               0.001901
                     12,                 1.5744,                 3.8869,                 1.6434,                0.65148,                0.12445,                 0.0914,                0.03851,                 1.9438,                 3.0883,                 1.7443,              0.0018911,              0.0018911,              0.0018911
                     13,                  1.553,                 3.8978,                 1.5769,                0.68112,                0.11579,                0.11016,                0.04681,                 1.9607,                 2.9696,                 1.7807,              0.0018812,              0.0018812,              0.0018812
                     14,                 1.5759,                  3.806,                 1.5989,                0.61299,                0.12923,                0.12245,                0.05702,                 1.7671,                 2.9505,                 1.6453,              0.0018713,              0.0018713,              0.0018713
                     15,                 1.5598,                  3.767,                 1.6035,                0.79253,                0.10558,                0.12523,                0.06018,                 1.8284,                 2.9024,                 1.7037,              0.0018614,              0.0018614,              0.0018614
                     16,                 1.5221,                 3.6693,                 1.5754,                0.68155,                0.10419,                0.11983,                0.05478,                 1.8811,                 2.9762,                 1.7319,              0.0018515,              0.0018515,              0.0018515
                     17,                 1.5302,                 3.6482,                   1.55,                0.43449,                0.18456,                0.14146,                0.06787,                 1.8877,                 2.8943,                 1.7223,              0.0018416,              0.0018416,              0.0018416
                     18,                 1.5394,                  3.633,                 1.5792,                0.60174,                0.15404,                0.13959,                0.07796,                 1.6921,                 2.7377,                 1.5679,              0.0018317,              0.0018317,              0.0018317
                     19,                  1.531,                 3.6547,                 1.5735,                0.62733,                0.14613,                0.14246,                0.07313,                 1.8028,                 2.7229,                 1.6373,              0.0018218,              0.0018218,              0.0018218
                     20,                 1.4706,                 3.6412,                  1.511,                0.55967,                0.13548,                0.14111,                 0.0709,                 1.8401,                 2.7825,                 1.6727,              0.0018119,              0.0018119,              0.0018119
                     21,                 1.4935,                 3.5213,                 1.5363,                0.76268,                0.14418,                0.16312,                0.07535,                 1.8892,                 2.7238,                  1.746,               0.001802,               0.001802,               0.001802
                     22,                 1.5019,                 3.4607,                 1.5444,                0.56002,                0.18629,                0.16039,                0.07906,                  1.828,                 2.7407,                  1.636,              0.0017921,              0.0017921,              0.0017921
                     23,                 1.4374,                 3.4331,                  1.505,                0.51772,                0.17081,                0.15122,                0.07978,                 1.7391,                 2.6125,                 1.5859,              0.0017822,              0.0017822,              0.0017822
                     24,                  1.493,                  3.441,                 1.5519,                 0.7699,                 0.1488,                0.15318,                0.07528,                 1.8255,                 2.6593,                 1.6735,              0.0017723,              0.0017723,              0.0017723
                     25,                 1.4597,                 3.3392,                 1.4938,                0.65441,                0.16879,                0.15114,                0.08005,                  1.769,                 2.7085,                 1.5811,              0.0017624,              0.0017624,              0.0017624
                     26,                 1.4503,                 3.4099,                 1.5056,                0.77302,                0.13609,                 0.1628,                0.08523,                 1.7164,                 2.6499,                 1.5725,              0.0017525,              0.0017525,              0.0017525
                     27,                 1.4247,                 3.2845,                 1.4982,                0.53482,                0.17426,                0.17733,                0.09011,                 1.7955,                 2.6287,                 1.6262,              0.0017426,              0.0017426,              0.0017426
                     28,                 1.4276,                 3.2952,                 1.4795,                0.50716,                0.18281,                0.15443,                0.08742,                 1.7455,                 2.6905,                 1.5865,              0.0017327,              0.0017327,              0.0017327
                     29,                 1.4181,                 3.2177,                  1.476,                0.38075,                0.17453,                0.15374,                 0.0836,                  1.728,                 2.6668,                 1.5639,              0.0017228,              0.0017228,              0.0017228
                     30,                 1.4007,                 3.2419,                 1.4462,                0.41446,                0.19612,                0.16603,                0.09054,                 1.7434,                 2.6309,                 1.5634,              0.0017129,              0.0017129,              0.0017129
                     31,                  1.387,                 3.2006,                 1.4626,                0.81275,                0.14543,                 0.1688,                0.09292,                 1.6748,                 2.5547,                 1.5155,               0.001703,               0.001703,               0.001703
                     32,                 1.4144,                 3.1149,                 1.4899,                0.61444,                0.16944,                0.16067,                0.08418,                 1.7269,                  2.558,                 1.6068,              0.0016931,              0.0016931,              0.0016931
                     33,                 1.3685,                 3.0244,                 1.4412,                0.36691,                0.24317,                0.18257,                0.09352,                 1.7409,                 2.5192,                 1.6006,              0.0016832,              0.0016832,              0.0016832
                     34,                 1.4253,                 3.1428,                 1.4755,                0.59793,                0.18771,                 0.1838,                0.09885,                 1.6561,                 2.4948,                 1.5505,              0.0016733,              0.0016733,              0.0016733
                     35,                 1.3939,                 2.9631,                 1.4442,                0.62203,                0.17214,                0.16439,                 0.0902,                 1.7578,                 2.5549,                 1.5965,              0.0016634,              0.0016634,              0.0016634
                     36,                 1.3918,                 3.0133,                   1.47,                 0.6623,                0.18161,                 0.1748,                0.10169,                 1.6505,                 2.4724,                 1.5559,              0.0016535,              0.0016535,              0.0016535
                     37,                 1.3892,                 2.9472,                 1.4533,                0.69261,                0.19342,                0.18662,                0.09696,                 1.8322,                 2.5889,                 1.6543,              0.0016436,              0.0016436,              0.0016436
                     38,                 1.3903,                  3.013,                 1.4513,                0.45786,                0.23354,                 0.1881,                0.09733,                 1.7828,                 2.5248,                 1.5908,              0.0016337,              0.0016337,              0.0016337
                     39,                 1.3593,                 2.9492,                 1.4065,                0.39938,                0.19411,                0.17984,                0.08926,                 1.7857,                 2.5949,                 1.6366,              0.0016238,              0.0016238,              0.0016238
                     40,                 1.3999,                 2.9837,                 1.4418,                0.66358,                0.16504,                 0.1841,                0.09273,                  1.835,                 2.5332,                  1.657,              0.0016139,              0.0016139,              0.0016139
                     41,                 1.3619,                 2.9196,                   1.43,                0.44673,                0.18166,                0.16629,                 0.0933,                 1.8107,                 2.6125,                 1.6101,               0.001604,               0.001604,               0.001604
                     42,                 1.3566,                 2.9598,                 1.4078,                 0.4373,                0.19012,                0.18863,                 0.1057,                 1.6984,                 2.5559,                 1.5029,              0.0015941,              0.0015941,              0.0015941
                     43,                 1.3503,                 2.8471,                 1.4115,                0.57597,                0.17363,                0.18162,                0.10579,                 1.6679,                 2.5573,                 1.4955,              0.0015842,              0.0015842,              0.0015842
                     44,                 1.3539,                 2.8003,                 1.3896,                0.60834,                 0.1641,                0.17605,                0.10387,                 1.6172,                 2.5193,                  1.468,              0.0015743,              0.0015743,              0.0015743
                     45,                 1.3571,                 2.8216,                 1.3856,                0.61384,                0.18553,                0.16767,                0.10287,                 1.5688,                 2.5798,                 1.4442,              0.0015644,              0.0015644,              0.0015644
                     46,                 1.3052,                 2.7393,                 1.3714,                0.49537,                0.19343,                0.18076,                0.10684,                 1.5831,                 2.5723,                 1.5034,              0.0015545,              0.0015545,              0.0015545
                     47,                 1.3133,                  2.781,                  1.387,                0.51039,                0.18105,                0.17405,                 0.0997,                  1.649,                 2.6339,                 1.5302,              0.0015446,              0.0015446,              0.0015446
                     48,                 1.3167,                  2.714,                 1.3977,                0.63046,                0.18127,                0.19033,                0.10465,                 1.6333,                 2.5322,                  1.504,              0.0015347,              0.0015347,              0.0015347
                     49,                 1.2775,                 2.7023,                 1.3478,                0.59338,                0.20041,                0.19182,                0.10397,                 1.6949,                 2.4827,                 1.5308,              0.0015248,              0.0015248,              0.0015248
                     50,                 1.2935,                 2.6067,                  1.378,                0.54456,                0.19932,                0.17218,                0.10397,                 1.5759,                 2.6009,                 1.4641,              0.0015149,              0.0015149,              0.0015149
                     51,                 1.2971,                 2.7223,                 1.3724,                0.50162,                0.17584,                0.16643,                0.10339,                  1.625,                   2.58,                 1.5029,               0.001505,               0.001505,               0.001505
                     52,                 1.2916,                 2.6801,                 1.3517,                0.63202,                0.15788,                0.17546,                0.09612,                 1.7983,                 2.6123,                 1.6316,              0.0014951,              0.0014951,              0.0014951
                     53,                  1.286,                 2.6787,                 1.3658,                 0.6295,                0.21887,                0.19822,                0.11709,                 1.7351,                  2.511,                 1.5701,              0.0014852,              0.0014852,              0.0014852
                     54,                 1.2741,                 2.5871,                 1.3481,                 0.4845,                0.22439,                0.20101,                0.11296,                 1.7543,                 2.5657,                 1.5813,              0.0014753,              0.0014753,              0.0014753
                     55,                 1.2649,                 2.5824,                 1.3484,                0.36036,                0.24319,                0.18035,                0.10559,                 1.6998,                 2.5559,                 1.5607,              0.0014654,              0.0014654,              0.0014654
                     56,                 1.2989,                 2.5786,                  1.355,                 0.4442,                0.22236,                0.19959,                0.11281,                 1.6783,                  2.556,                 1.5412,              0.0014555,              0.0014555,              0.0014555
                     57,                 1.2885,                 2.5145,                 1.3623,                0.29506,                0.22892,                0.17783,                0.10067,                 1.6012,                 2.6103,                 1.4684,              0.0014456,              0.0014456,              0.0014456
                     58,                  1.296,                 2.5668,                 1.3444,                0.38184,                0.23554,                0.18516,                0.10485,                 1.6244,                 2.5277,                 1.4709,              0.0014357,              0.0014357,              0.0014357
                     59,                 1.2554,                 2.5339,                 1.3294,                0.41452,                0.20317,                0.18134,                0.10871,                 1.6506,                  2.592,                 1.5145,              0.0014258,              0.0014258,              0.0014258
                     60,                 1.2468,                 2.5026,                 1.3272,                0.45463,                0.19949,                0.18404,                0.10855,                 1.6842,                 2.5378,                 1.5288,              0.0014159,              0.0014159,              0.0014159
                     61,                 1.2534,                 2.4625,                  1.308,                0.37881,                0.23078,                0.18411,                0.10047,                 1.7122,                 2.5964,                 1.5375,               0.001406,               0.001406,               0.001406
                     62,                 1.2697,                 2.4895,                 1.3382,                0.44999,                0.18071,                0.17624,                 0.0981,                 1.6868,                  2.564,                 1.5254,              0.0013961,              0.0013961,              0.0013961
                     63,                 1.2327,                 2.4046,                 1.3432,                0.32915,                0.22359,                0.17746,                  0.104,                 1.6162,                 2.5374,                 1.5084,              0.0013862,              0.0013862,              0.0013862
                     64,                  1.238,                 2.3452,                 1.3154,                0.31916,                0.22338,                 0.1683,                0.09908,                  1.637,                  2.714,                 1.5355,              0.0013763,              0.0013763,              0.0013763
                     65,                 1.2206,                 2.3333,                 1.2871,                0.23282,                 0.2068,                 0.1731,                 0.1027,                 1.6216,                 2.6472,                 1.5363,              0.0013664,              0.0013664,              0.0013664
                     66,                 1.2458,                 2.3725,                 1.2958,                 0.4351,                0.19681,                 0.1813,                0.10443,                  1.627,                 2.5664,                 1.5182,              0.0013565,              0.0013565,              0.0013565
                     67,                  1.242,                 2.3792,                  1.337,                0.46986,                0.20651,                0.19085,                0.10738,                 1.6252,                 2.5827,                 1.4931,              0.0013466,              0.0013466,              0.0013466
                     68,                  1.221,                 2.3732,                 1.2962,                0.51617,                0.20131,                0.19881,                0.11319,                 1.6435,                 2.5723,                 1.5193,              0.0013367,              0.0013367,              0.0013367
                     69,                 1.1693,                   2.26,                 1.2796,                0.58332,                0.19086,                0.19577,                0.11149,                 1.6392,                 2.5417,                  1.542,              0.0013268,              0.0013268,              0.0013268
                     70,                  1.216,                  2.322,                 1.3002,                0.42493,                0.18051,                0.18654,                0.11303,                 1.6334,                 2.5767,                 1.5235,              0.0013169,              0.0013169,              0.0013169
                     71,                 1.1969,                 2.2433,                 1.2981,                0.50688,                0.18459,                0.18898,                0.11418,                 1.5897,                 2.5646,                 1.5057,               0.001307,               0.001307,               0.001307
                     72,                 1.2354,                 2.3637,                 1.2964,                 0.3214,                0.21894,                0.18243,                0.11293,                   1.58,                 2.5691,                 1.4677,              0.0012971,              0.0012971,              0.0012971
                     73,                 1.2072,                 2.2903,                 1.2929,                0.48695,                 0.2176,                0.20072,                0.11493,                  1.599,                 2.5273,                 1.5009,              0.0012872,              0.0012872,              0.0012872
                     74,                 1.2176,                 2.3235,                 1.3188,                0.30011,                0.27423,                0.19835,                0.11457,                 1.5971,                 2.5439,                 1.5088,              0.0012773,              0.0012773,              0.0012773
                     75,                 1.2031,                 2.2373,                 1.2825,                0.35539,                0.23724,                0.18703,                0.11108,                 1.5996,                 2.5528,                 1.4947,              0.0012674,              0.0012674,              0.0012674
