                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0423,                 12.701,                 2.6681,                      0,                      0,                      0,                      0,                 5.6656,                  12.67,                 4.7147,                0.09412,                0.00012,                0.00012
                      2,                 3.0332,                 9.8138,                 2.7907,                      0,                      0,                      0,                      0,                 6.6557,                 11.851,                 5.9877,               0.087255,             0.00025485,             0.00025485
                      3,                 3.2096,                 9.6703,                  2.889,                      0,                      0,                      0,                      0,                 6.7318,                 11.456,                 6.4714,               0.080384,             0.00038416,             0.00038416
                      4,                 2.9429,                  8.383,                 2.7862,                      0,                      0,                      0,                      0,                 5.4737,                 10.931,                 5.5664,               0.073508,             0.00050792,             0.00050792
                      5,                 3.1804,                 8.2039,                 3.0547,                      0,                      0,                      0,                      0,                 4.4741,                 10.329,                 4.8611,               0.066626,             0.00062614,             0.00062614
                      6,                 3.2337,                  7.874,                 2.9588,                      0,                      0,                      0,                      0,                 4.0313,                 9.8191,                  4.086,               0.059739,             0.00073882,             0.00073882
                      7,                 3.1139,                 7.2516,                 2.8909,                      0,                      0,                      0,                      0,                  3.886,                 9.5535,                 3.9873,               0.052846,             0.00084595,             0.00084595
                      8,                 3.3663,                 7.3244,                 2.9743,                      0,                      0,                      0,                      0,                 3.8045,                 9.4352,                 3.9594,               0.045948,             0.00094754,             0.00094754
                      9,                 3.1068,                 6.9401,                      3,                0.03413,                0.14286,                0.12256,                0.05702,                  3.459,                 8.9505,                 3.7341,               0.039044,              0.0010436,              0.0010436
                     10,                 3.2814,                 6.8589,                 3.1361,                0.01173,                0.19841,                0.10969,                0.05796,                  3.723,                 8.6365,                 4.1288,               0.032134,              0.0011341,              0.0011341
                     11,                 3.3937,                 7.2486,                  3.209,                0.00561,                 0.2746,                0.09039,                0.04334,                 3.7924,                 8.6654,                 4.1875,               0.025219,               0.001219,               0.001219
                     12,                 3.3533,                 6.6181,                 3.1507,                0.00813,                0.39603,                0.03126,                0.01099,                 4.0773,                 9.0015,                 4.9818,               0.018298,              0.0012985,              0.0012985
                     13,                 3.2757,                 6.7099,                 3.2243,                 0.0081,                0.44127,                0.03712,                0.01711,                 3.9858,                 8.8797,                 4.5863,               0.011372,              0.0013723,              0.0013723
                     14,                 3.3106,                 6.3875,                 3.1037,                0.35063,                0.04328,                0.06096,                0.03245,                 4.0892,                 10.714,                 4.4673,              0.0044406,              0.0014406,              0.0014406
                     15,                 3.3622,                   6.88,                  3.327,                0.17396,                0.07222,                0.02444,                0.01257,                 4.0598,                 12.998,                 4.7964,              0.0014456,              0.0014456,              0.0014456
                     16,                 3.3594,                  6.038,                   3.14,                0.07527,                0.04921,                0.02096,                0.00885,                 4.1727,                 18.116,                 4.9971,               0.001406,               0.001406,               0.001406
                     17,                 3.1381,                 6.1229,                 3.0035,                0.03492,                0.03333,                0.01711,                0.00793,                 4.2825,                 17.233,                 4.9559,              0.0013664,              0.0013664,              0.0013664
                     18,                 3.0711,                 5.9063,                  3.022,                 0.1901,                0.04286,                0.02671,                0.01236,                 4.2328,                 13.319,                  4.723,              0.0013268,              0.0013268,              0.0013268
                     19,                 3.0093,                  6.003,                 2.8826,                0.49563,                0.03016,                0.02363,                0.01097,                 4.1673,                 9.9704,                 4.4012,              0.0012872,              0.0012872,              0.0012872
                     20,                 2.9352,                 5.6941,                 2.8564,                0.30964,                0.06825,                 0.0297,                0.00958,                 4.1484,                 9.3474,                 4.1386,              0.0012476,              0.0012476,              0.0012476
                     21,                  2.942,                 5.4397,                 2.7951,                 0.3328,                0.11739,                0.04052,                0.01439,                 4.2031,                 9.4629,                 4.0049,               0.001208,               0.001208,               0.001208
