                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6631,                 11.587,                 3.6385,                      0,                      0,                      0,                      0,                 4.5345,                  9.551,                 4.7324,                0.06962,                0.00062,                0.00062
                      2,                  3.855,                 9.3235,                  3.764,                0.21936,                0.03496,                 0.0346,                0.00726,                 4.5799,                 9.1151,                 6.3069,               0.038235,              0.0012351,              0.0012351
                      3,                 3.9475,                 8.8184,                 3.8383,                0.00244,                 0.0941,                0.00569,                0.00219,                 5.2848,                 30.832,                 7.5723,              0.0068248,              0.0018248,              0.0018248
                      4,                 3.9798,                 8.5784,                 3.9418,                0.10634,                0.03766,                0.00091,                0.00018,                 4.9722,                 76.486,                 5.8622,              0.0018812,              0.0018812,              0.0018812
                      5,                 3.9744,                 8.2373,                 3.9228,                0.11575,                 0.1323,                 0.0074,                0.00221,                 4.7778,                 197.22,                 5.3807,              0.0018416,              0.0018416,              0.0018416
                      6,                 3.8194,                 8.0097,                 3.8614,                0.43341,                0.05758,                0.01213,                0.00357,                 4.7466,                 50.255,                 4.8675,               0.001802,               0.001802,               0.001802
                      7,                 3.8472,                 8.0015,                  3.835,                0.35649,                0.07081,                0.02243,                0.00771,                 4.6762,                 31.269,                  4.752,              0.0017624,              0.0017624,              0.0017624
                      8,                 3.7804,                 7.5021,                 3.7691,                0.38431,                0.04657,                0.02112,                0.00823,                 4.3653,                 10.869,                 4.3084,              0.0017228,              0.0017228,              0.0017228
                      9,                 3.8109,                 7.3502,                 3.7719,                0.56204,                0.05743,                0.02819,                0.01184,                 4.6148,                 8.7685,                 4.2791,              0.0016832,              0.0016832,              0.0016832
                     10,                 3.7431,                 7.4021,                 3.6928,                0.23618,                0.08983,                0.02273,                0.00851,                    4.5,                 9.4301,                 4.2923,              0.0016436,              0.0016436,              0.0016436
                     11,                 3.6769,                  7.127,                 3.6503,                0.65621,                0.06274,                0.02548,                0.00965,                 4.5783,                 12.529,                  4.407,               0.001604,               0.001604,               0.001604
                     12,                 3.6846,                 7.1826,                 3.7205,                0.68167,                0.02738,                0.05346,                0.01798,                 4.6533,                 7.1973,                 4.2692,              0.0015644,              0.0015644,              0.0015644
                     13,                  3.616,                 7.0646,                 3.5868,                0.61991,                0.05078,                 0.0392,                0.01527,                  4.359,                 6.8197,                 4.0154,              0.0015248,              0.0015248,              0.0015248
                     14,                 3.6034,                 6.9634,                 3.6013,                0.33149,                0.06251,                0.04271,                0.01712,                 4.2524,                 7.1986,                 3.8381,              0.0014852,              0.0014852,              0.0014852
                     15,                 3.6541,                 6.7945,                 3.5972,                0.46669,                0.05114,                0.03462,                0.01465,                 4.4837,                  7.264,                 4.1565,              0.0014456,              0.0014456,              0.0014456
                     16,                 3.5372,                 6.7047,                 3.4617,                0.42788,                 0.0806,                0.05666,                0.02376,                  4.561,                 6.6274,                 4.1634,               0.001406,               0.001406,               0.001406
