                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0078,                 5.0764,                 1.9227,                      0,                      0,                      0,                      0,                 1.2301,                 4.2245,                 1.2075,                0.06962,                0.00062,                0.00062
                      2,                 1.7409,                 4.9492,                 1.7373,                      0,                      0,                      0,                      0,                 1.5388,                 4.2968,                 1.4059,               0.038235,              0.0012351,              0.0012351
                      3,                 1.6377,                 4.8122,                 1.6017,                0.03117,                0.04799,                0.04269,                 0.0142,                 1.7456,                  4.287,                 1.5649,              0.0068248,              0.0018248,              0.0018248
                      4,                 1.5779,                 4.7583,                 1.5915,                0.00818,                 0.1873,                0.02456,                0.00919,                 1.8902,                 4.0228,                 1.6242,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.6225,                 4.6745,                 1.6293,                 0.4902,                0.03318,                0.04775,                0.01748,                 1.8792,                 3.6719,                 1.7057,              0.0018416,              0.0018416,              0.0018416
                      6,                  1.577,                 4.5019,                 1.5956,                0.50628,                0.09149,                0.06836,                 0.0231,                 1.8522,                 3.4662,                 1.7529,               0.001802,               0.001802,               0.001802
                      7,                 1.6027,                 4.4537,                 1.6232,                0.47779,                0.10592,                0.07105,                0.02712,                  1.919,                 3.3297,                 1.7932,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.6063,                 4.2213,                 1.6178,                0.39184,                0.10042,                0.08021,                0.03558,                 1.8743,                 3.2027,                  1.719,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.6009,                 4.1571,                 1.6056,                0.44336,                0.10662,                 0.0797,                0.03653,                 1.8954,                 3.2555,                 1.6844,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.5828,                 4.1903,                 1.6118,                0.56331,                0.10126,                0.08286,                0.04142,                 1.9324,                 3.1315,                 1.7735,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.5985,                 3.9618,                 1.6224,                0.66772,                0.11292,                0.08811,                0.04278,                 1.8128,                 3.0234,                 1.6654,               0.001604,               0.001604,               0.001604
                     12,                 1.5549,                 3.9607,                  1.627,                0.67202,                0.10669,                0.09238,                0.04348,                 1.8355,                 3.0351,                 1.6759,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.5581,                 3.9471,                 1.5939,                0.56673,                0.10821,                0.09241,                0.04024,                  1.831,                   3.04,                 1.6759,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.5472,                 3.8258,                 1.6091,                0.73708,                0.11732,                0.09814,                0.04852,                 1.7375,                 2.9398,                  1.622,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.5613,                 3.7836,                 1.5853,                0.77543,                0.10172,                0.12701,                0.05656,                 1.7729,                  2.845,                 1.6309,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.5227,                 3.6824,                 1.5643,                0.75564,                0.10848,                0.13992,                0.05504,                 1.8957,                 2.9221,                 1.7205,               0.001406,               0.001406,               0.001406
                     17,                 1.5339,                 3.6889,                 1.5496,                0.73206,                0.11334,                0.13893,                0.06093,                 1.8736,                 2.8341,                 1.7162,              0.0013664,              0.0013664,              0.0013664
                     18,                  1.543,                 3.6399,                 1.5567,                0.57771,                0.15462,                0.13223,                0.06869,                 1.7515,                 2.7772,                 1.5999,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.5191,                  3.694,                  1.545,                0.68184,                0.15488,                0.15249,                0.07024,                 1.8166,                 2.7325,                 1.6586,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.4484,                 3.6935,                 1.4971,                0.68501,                0.15068,                0.16055,                0.07895,                 1.8354,                 2.6998,                  1.665,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.4713,                 3.5312,                  1.523,                0.56222,                 0.1801,                0.16057,                0.07319,                 1.8256,                 2.7398,                 1.6821,               0.001208,               0.001208,               0.001208
